listing_id,positive,negative,rating
1000127,31,12,19
10005666,111,52,59
10006480,113,43,70
10006571,10,1,9
10008329,1,1,0
10008498,4,2,2
1000926,147,67,80
10009627,0,0,0
10009910,1,3,-2
10010088,3,3,0
10010607,124,41,83
10010616,0,0,0
10010974,6,1,5
10014542,6,3,3
10014693,21,4,17
10019856,124,47,77
1002115,562,104,458
10026158,3,1,2
10026201,3,2,1
10026841,23,9,14
10027007,1,1,0
10027526,3,3,0
10027611,1,0,1
1002787,353,87,266
10027962,37,19,18
10029797,22,5,17
10029997,4,0,4
10030343,3,0,3
10030865,0,0,0
10030879,422,122,300
10031152,100,31,69
10031256,18,9,9
100326,317,59,258
10033872,63,20,43
10034118,1,0,1
10035040,17,6,11
1003616,450,83,367
10036464,63,15,48
10036675,355,147,208
10036988,7,0,7
10037446,5,2,3
10038491,4,0,4
1003867,237,52,185
10039088,226,93,133
1003956,243,40,203
10039697,198,30,168
1004045,188,70,118
10044258,149,24,125
10045282,21,3,18
10046063,204,50,154
10046508,48,18,30
10047167,23,8,15
10047332,145,55,90
100479,15,1,14
10048821,76,33,43
10049050,27,6,21
10050767,3,1,2
10051141,210,82,128
10051499,53,22,31
10051800,17,13,4
10052001,54,12,42
10052143,37,21,16
10052571,15,9,6
10052924,118,28,90
10053570,268,77,191
10053985,5,5,0
10054563,29,11,18
10056599,58,18,40
10057670,1,0,1
10057863,101,22,79
10058571,63,19,44
10062135,383,101,282
1006267,372,90,282
10062924,52,30,22
10063501,234,69,165
10063534,21,4,17
10063603,89,26,63
10066719,5,0,5
10067495,15,1,14
10068016,13,2,11
10068573,307,54,253
10069438,392,86,306
10070333,47,4,43
10070749,56,11,45
10071368,4,1,3
10074263,8,11,-3
10079009,29,2,27
10079244,13,3,10
10079837,123,16,107
10079888,3,2,1
10080136,267,127,140
10082714,9,4,5
10083894,0,0,0
10083909,21,14,7
10087696,0,0,0
10087915,25,9,16
10088507,188,58,130
1008996,346,66,280
1009049,0,0,0
10092188,16,1,15
10094145,1,1,0
10095559,3,2,1
10096589,114,30,84
10097696,313,98,215
10098679,44,21,23
10099708,35,11,24
10100597,107,32,75
10102739,9,6,3
10103204,94,13,81
1010686,71,9,62
101083,251,95,156
10108819,29,11,18
10110483,3,1,2
10110536,14,5,9
1011062,247,32,215
10111163,17,6,11
10111500,302,36,266
10112506,67,18,49
10113249,34,8,26
10113708,0,0,0
10113732,44,9,35
10113846,45,19,26
10114201,2,2,0
10115358,15,8,7
1011777,108,22,86
10118813,56,28,28
1011983,196,61,135
10122135,208,48,160
10122544,34,13,21
10123472,9,1,8
10128178,11,3,8
10128245,232,83,149
10128582,49,16,33
10129040,0,1,-1
10130209,388,115,273
10130618,18,2,16
1013117,985,175,810
10131812,27,0,27
10131846,5,1,4
10131999,147,39,108
10133240,462,102,360
10133386,6,2,4
10133918,196,80,116
1013398,141,66,75
10135003,0,0,0
10136710,2,1,1
10136856,22,12,10
10138249,1,1,0
10139024,699,114,585
10139776,34,5,29
10140317,15,7,8
10145393,51,18,33
10145618,119,17,102
10146851,47,17,30
10147491,4,0,4
10149001,60,3,57
10149344,31,41,-10
10149626,10,2,8
10149724,23,8,15
10150297,66,16,50
10150315,1,1,0
10150560,23,27,-4
10150653,18,16,2
1015175,30,25,5
10152930,8,1,7
10154200,50,8,42
10154433,94,36,58
10155447,3,1,2
1015806,267,72,195
10159131,4,1,3
10159634,11,8,3
10160270,24,6,18
10161128,503,154,349
10161678,162,30,132
10162722,64,18,46
10162798,15,3,12
10163524,1,0,1
10163641,140,30,110
1016555,65,10,55
1016658,185,38,147
1016793,79,14,65
10169014,4,0,4
10170100,40,9,31
10171444,528,101,427
10173939,552,222,330
10174366,7,1,6
10175611,10,5,5
1018171,349,178,171
10182749,0,1,-1
10185159,231,45,186
